id,Year,quarter,city1,city2,cur_passengers,cur_fare,ly_fare,ly_passengers,amount_change,percent_change,amount_change_pax,percent_change_pax,Latitude1,Longitude1,Latitude2,Longitude2
1,2017,2,"Austin, TX","Kansas City, MO","27,120",189.79,261.58,"17,760",-71.79,-0.2744,"9,360",0.527,30.264979,-97.746598,39.099792,-94.578559
2,2017,1,"Albuquerque, NM","Austin, TX","14,400",208.59,267.76,"10,230",-59.17,-22.0975,"4,170",40.7625,35.084248,-106.649241,30.264979,-97.746598
3,2017,1,"Colorado Springs, CO","Orlando, FL","20,930",122.06,255.1,"4,650",-133.04,-52.1509,"16,280",350.1075,38.835224,-104.819798,28.538331,-81.378879
4,2017,1,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ","116,210",201.09,266.35,"99,390",-65.26,-24.502,"16,820",16.9232,33.748547,-84.391502,30.406931,-87.217578
5,2017,1,"Atlanta, GA (Metropolitan Area)","Hartford, CT","51,830",208.66,263.18,"44,160",-54.52,-20.7175,"7,670",17.3687,33.748547,-84.391502,41.765775,-72.673356
6,2017,1,"Atlanta, GA (Metropolitan Area)","Nashville, TN","22,230",285.04,357.72,"16,300",-72.69,-20.3192,"5,930",36.3804,33.748547,-84.391502,36.166687,-86.779932
7,2017,1,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)","191,870",182.31,236.91,"176,240",-54.6,-23.0483,"15,630",8.8686,33.748547,-84.391502,42.358894,-71.056742
8,2017,1,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN","103,930",214.08,268.29,"91,170",-54.21,-20.2062,"12,760",13.9958,33.748547,-84.391502,44.977479,-93.264346
9,2017,1,"Austin, TX","Pittsburgh, PA","15,980",201.68,270.81,"12,000",-69.13,-25.5276,"3,980",33.1667,30.264979,-97.746598,40.442169,-79.994945
10,2017,1,"Asheville, NC","New York City, NY (Metropolitan Area)","15,190",135.41,306.04,"5,040",-170.62,-55.753,"10,150",201.3889,35.595889,-82.550039,40.123164,-75.333718
11,2017,1,"Phoenix, AZ","St. Louis, MO","83,630",177.48,238.7,"66,380",-61.22,-25.6457,"17,250",25.9867,30.406931,-87.217578,38.630276,-90.200309
12,2017,1,"Phoenix, AZ","Portland, OR","156,840",151.16,196.8,"124,590",-45.64,-23.1921,"32,250",25.8849,30.406931,-87.217578,45.516018,-122.681425
13,2017,1,"El Paso, TX","Las Vegas, NV","29,450",160.44,201.01,"22,590",-40.58,-20.1861,"6,860",30.3674,31.76006,-106.492257,36.169202,-115.140597
14,2017,1,"Nashville, TN","Phoenix, AZ","52,660",218.41,287.14,"43,280",-68.73,-23.9365,"9,380",21.6728,36.166687,-86.779932,30.406931,-87.217578
15,2017,1,"Boston, MA (Metropolitan Area)","Nashville, TN","84,340",146.33,193.05,"59,810",-46.72,-24.2009,"24,530",41.0132,42.358894,-71.056742,36.166687,-86.779932
16,2017,1,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)","346,030",148.52,222.68,"294,250",-74.16,-33.304,"51,780",17.5973,42.358894,-71.056742,40.123164,-75.333718
17,2017,1,"Boston, MA (Metropolitan Area)","Salt Lake City, UT","69,220",270.94,348.37,"51,970",-77.43,-22.2261,"17,250",33.1922,42.358894,-71.056742,40.758478,-111.888142
18,2017,1,"Buffalo, NY","Los Angeles, CA (Metropolitan Area)","35,550",202.11,287.1,"21,730",-84.99,-29.6027,"13,820",63.5987,39.945422,-78.64671,34.052238,-118.243344
19,2017,1,"Chicago, IL","Dayton, OH","22,590",136.18,255.17,"10,610",-118.98,-46.6301,"11,980",112.9123,41.775002,-87.696388,39.760982,-84.192203
